Heading,Date,Time,URL
UEFA panel to recommend Champions League ban on Manchester City: Report,2019-05-14,03:06:40,https://timesofindia.indiatimes.com/sports/football/champions-league/uefa-panel-to-recommend-champions-league-ban-on-manchester-city-report/articleshow/69317333.cms
Bengaluru FC sign youngsters Suresh Wangjam and Prabhsukhan Singh Gill,2019-05-13,13:22:45,https://timesofindia.indiatimes.com/sports/football/indian-super-league/top-stories/bengaluru-fc-sign-youngsters-suresh-wangjam-and-prabhsukhan-singh-gill/articleshow/69309772.cms
Pep Guardiola hailed as 'obsessive' genius behind Manchester City winning machine,2019-05-13,10:36:40,https://timesofindia.indiatimes.com/sports/football/epl/top-stories/pep-guardiola-hailed-as-obsessive-genius-behind-manchester-city-winning-machine/articleshow/69307838.cms
"On final day, Goan FC, Dempo battle for title",2019-05-12,19:05:18,https://timesofindia.indiatimes.com/city/goa/on-final-day-goan-fc-dempo-battle-for-title/articleshow/69299130.cms
Big sports events today,2019-05-12,18:40:00,https://timesofindia.indiatimes.com/sports/more-sports/others/big-sports-events-today/articleshow/69298147.cms
Woeful Manchester United end season with 0-2 defeat to Cardiff,2019-05-12,16:52:51,https://timesofindia.indiatimes.com/sports/football/epl/top-stories/woeful-manchester-united-end-season-with-0-2-defeat-to-cardiff/articleshow/69297713.cms
Pierre-Emerick Aubameyang fires Arsenal to battling win at Burnley,2019-05-12,16:41:03,https://timesofindia.indiatimes.com/sports/football/epl/top-stories/pierre-emerick-aubameyang-fires-arsenal-to-battling-win-at-burnley/articleshow/69297619.cms
Tottenham draw 2-2 with Everton to finish fourth,2019-05-12,16:33:07,https://timesofindia.indiatimes.com/sports/football/epl/top-stories/tottenham-draw-2-2-with-everton-to-finish-fourth/articleshow/69297502.cms
Chelsea held by Leicester but point enough for third place,2019-05-12,16:25:03,https://timesofindia.indiatimes.com/sports/football/epl/top-stories/chelsea-held-by-leicester-but-point-enough-for-third-place/articleshow/69297397.cms
"Liverpool beat Wolves, miss out on Premier League title",2019-05-12,16:17:22,https://timesofindia.indiatimes.com/sports/football/epl/top-stories/liverpool-beat-wolves-miss-out-on-premier-league-title/articleshow/69297287.cms
Thalapathy63 will pique youngsters’ interest in football,2019-05-12,09:35:17,https://timesofindia.indiatimes.com/entertainment/tamil/movies/news/thalapathy63-will-pique-youngsters-interest-in-football/articleshow/69292822.cms
We'll only get better: Pep Guardiola warns Manchester City's rivals,2019-05-12,04:22:25,https://timesofindia.indiatimes.com/sports/football/epl/top-stories/well-only-get-better-pep-guardiola-warns-manchester-citys-rivals/articleshow/69289494.cms
Serie A: Atalanta go third but Calhanoglu keeps AC Milan in Champions League chase,2019-05-12,04:09:57,https://timesofindia.indiatimes.com/sports/football/top-stories/serie-a-atalanta-go-third-but-calhanoglu-keeps-ac-milan-in-champions-league-chase/articleshow/69289377.cms
Neymar scores in final PSG game before ban,2019-05-11,17:46:41,https://timesofindia.indiatimes.com/sports/football/top-stories/neymar-scores-in-final-psg-game-before-ban/articleshow/69286748.cms
Mohun Bagan finalise plans for new season with new coach,2019-05-11,13:05:31,https://timesofindia.indiatimes.com/sports/football/top-stories/mohun-bagan-finalise-plans-for-new-season-with-new-coach/articleshow/69283538.cms
ISL: Brandon Fernandes commits to a long-term deal with FC Goa,2019-05-11,11:55:03,https://timesofindia.indiatimes.com/sports/football/indian-super-league/top-stories/isl-brandon-fernandes-commits-to-a-long-term-deal-with-fc-goa/articleshow/69282691.cms
John Gregory extends Chennaiyin FC stay to 2020,2019-05-11,11:40:12,https://timesofindia.indiatimes.com/sports/football/indian-super-league/top-stories/john-gregory-extends-chennaiyin-fc-stay-to-2020/articleshow/69282462.cms
Former FIFA boss Sepp Blatter says money risks ruining the sport,2019-05-11,10:57:33,https://timesofindia.indiatimes.com/sports/football/top-stories/former-fifa-boss-sepp-blatter-says-money-risks-ruining-the-sport/articleshow/69281956.cms
Ander Herrera confirms Manchester United exit in emotional farewell video,2019-05-11,10:10:22,https://timesofindia.indiatimes.com/sports/football/epl/top-stories/ander-herrera-confirms-manchester-united-exit-in-emotional-farewell-video/articleshow/69281396.cms
India's new coach Igor Stimac starts with his back to the wall,2019-05-11,06:22:12,https://timesofindia.indiatimes.com/city/goa/indias-new-coach-igor-stimac-starts-with-his-back-to-the-wall/articleshow/69275328.cms
