Newspaper,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
India Times, After A Power Packed Jonas Brothers Performance Joe Ties The Knot With Sophie Turner In Vegas,hollywood,2019-06-11,00:56,https://www.indiatimes.com/entertainment/hollywood/after-a-power-packed-jonas-brothers-performance-joe-ties-the-knot-with-sophie-turner-in-vegas-366465.html,1,0.14
India Today, Avengers star Chris Evans blasts men for planning Straight Pride Parade calls them homophobicChris Evans penned an angry post about the absurdity of Straight Pride Parade in Boston,hollywood,2019-06-11,00:56:00,https://www.indiatoday.in/movies/hollywood/story/avengers-endgame-star-chris-evans-blasts-people-for-planning-straight-pride-parade-calls-them-homophobic-1543991-2019-06-06,1,0.13
Hindiustan Times, Jennifer Lawrence on her Dark Phoenix death scene ‘ I cried watching Sophie Turner ’,hollywood,2019-06-06,13:24:00,https://www.hindustantimes.com/hollywood/jennifer-lawrence-on-her-dark-phoenix-death-scene-i-cried-watching-sophie-turner/story-x7aPBmHNXC9yS1vB5qEPAK.html,1,0.13
Hindiustan Times, Set phasers to stun Your warp speed guide to the Star Trek universe,hollywood,2019-06-08,16:54:00,https://www.hindustantimes.com/art-and-culture/set-phasers-to-stun-your-warp-speed-guide-to-the-star-trek-universe/story-DKJf8VHnS4LPftHdHpdKKM.html,1,0.15
Hindiustan Times, Dark Phoenix done a definitive ranking of the X Men series before it joins the MCU,hollywood,2019-06-08,15:56:00,https://www.hindustantimes.com/hollywood/dark-phoenix-done-a-definitive-ranking-of-the-x-men-series-before-it-joins-the-mcu/story-x4TolUpvZs5PxUrKCGqsiK.html,1,0.15
Hindiustan Times, X Men Dark Phoenix review Sophie Turner stars in a lousy conclusion to Marvel ’ s X Men saga sloppy seconds to Avengers Endgame,hollywood,2019-06-06,17:25:00,https://www.hindustantimes.com/hollywood/x-men-dark-phoenix-movie-review-the-worst-film-in-the-x-men-saga-sloppy-seconds-to-avengers-endgame/story-PfemEZVFXGJXj7TVkTUsCJ.html,1,0.12
Hindiustan Times, When Hugh Jackman was almost fired as Wolverine from the first X Men movie,hollywood,2019-06-06,14:53:00,https://www.hindustantimes.com/hollywood/when-hugh-jackman-was-almost-fired-as-wolverine-from-the-first-x-men-movie/story-Z4XZSsEfzaZrEX4qj9DpyI.html,1,0.13
India Times, I Am Just Attracted To Kicka Female Characters Says GoT Actor Sophie Turner,hollywood,2019-06-11,00:56,https://www.indiatimes.com/entertainment/hollywood/i-am-just-attracted-to-kicka-female-characters-says-got-actor-sophie-turner-367878.html,1,0.17
Hindiustan Times, Bradley Cooper Irina Shayk considering split ‘ It has nothing to do with Lady Gaga ’,hollywood,2019-06-06,13:13:00,https://www.hindustantimes.com/hollywood/bradley-cooper-irina-shayk-considering-split-it-has-nothing-to-do-with-lady-gaga/story-xEThRFMp6It8cYORiBNxTJ.html,2,0.29
India Today, Bradley Cooper and Irina Shayks relationship in trouble Is Lady Gaga the reason Star couple Bradley Cooper and Irina Shayks relationship is on the rocks and there is much speculation that Lady Gaga is the reason behind this,hollywood,2019-06-11,00:56:00,https://www.indiatoday.in/movies/hollywood/story/bradley-cooper-and-irina-shayk-s-relationship-in-trouble-is-lady-gaga-the-reason-1543757-2019-06-06,2,0.28
India Today, Chris Hemsworth reveals why he named his daughter IndiaChris Hemsworth revealed the reason behind naming his daughter India,hollywood,2019-06-11,00:56:00,https://www.indiatoday.in/movies/hollywood/story/mib-star-chris-hemsworth-reveals-why-he-named-his-daughter-india-1545384-2019-06-10,2,0.2
India Today, Avengers Endgame star Chris Pratt ties the knot with Arnold Schwarzeneggers daughter KatherineChris Pratt married fiancee Katherine Schwarzenegger in a private ceremony in Montecito California,hollywood,2019-06-11,00:56:00,https://www.indiatoday.in/movies/hollywood/story/avengers-endgame-star-chris-pratt-ties-the-knot-with-arnold-schwarzenegger-s-daughter-katherine-1545427-2019-06-09,3,0.33
Hindiustan Times, Chris Pratt shares first pic with wife Katherine Schwarzenegger Priyanka Chopra wishes the couple,hollywood,2019-06-10,13:44:00,https://www.hindustantimes.com/hollywood/chris-pratt-shares-first-pic-with-wife-katherine-schwarzenegger-priyanka-chopra-wishes-the-couple/story-IzTS9fZQ2FdPSSzddvV6FP.html,3,0.14
Time of India, Chris Pratt and Katherine Schwarzenegger share first wedding picture,hollywood,2019-06-10, 13:20:00,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/chris-pratt-and-katherine-schwarzenegger-share-first-wedding-picture/articleshow/69722153.cms,3,0.14
Hindiustan Times, Chris Pratt and Katherine Schwarzenegger marry in an intimate ceremony see pics,hollywood,2019-06-09,11:26:00,https://www.hindustantimes.com/hollywood/chris-pratt-and-katherine-schwarzenegger-marry-in-an-intimate-ceremony-see-pics/story-7jOY72XLE1E09KozY1wBIN.html,3,0.24
Hindiustan Times, Chris Pratt shares first pic with wife Katherine Schwarzenegger Priyanka Chopra wishes the couple,hollywood,2019-06-10,13:44:00,https://www.hindustantimes.com/hollywood/chris-pratt-shares-first-pic-with-wife-katherine-schwarzenegger-priyanka-chopra-wishes-the-couple/story-IzTS9fZQ2FdPSSzddvV6FP.html,3,0.14
Hindiustan Times, New James Bond film ’ s set rocked by an explosion one crew member injured,hollywood,2019-06-05,10:09:00,https://www.hindustantimes.com/hollywood/new-james-bond-film-rocked-by-an-explosion-one-crew-member-injured/story-ZfMmMR7Qv7OFMUIiX43eqK.html,4,0.08
Hindiustan Times, Film on Tibet refugees settled in India to premiere at TIFF,hollywood,2018-09-06,20:33:00,https://www.hindustantimes.com/world-cinema/film-on-tibet-refugees-settled-in-india-to-premiere-at-tiff/story-8N3F6B2MIoOa6Ing6LKfBJ.html,4,0.09
Hindiustan Times, Avengers Endgame vs Avatar Barring miracle Marvel film will not beat James Cameron ’ s epic as number one film of all time,hollywood,2019-06-05,17:51:00,https://www.hindustantimes.com/hollywood/avengers-endgame-vs-avatar-barring-miracle-marvel-film-will-not-beat-james-cameron-s-epic-as-number-one-film-of-all-time/story-tMTL3a0NgxWfNK75HjHJ5K.html,4,0.11
Hindiustan Times, Nila Madhab Panda ’ s Halkaa bags best film Grand Prix in Poland,hollywood,2018-06-10,18:19:00,https://www.hindustantimes.com/world-cinema/nila-madhab-panda-s-halkaa-bags-best-film-grand-prix-in-poland/story-TjwBAz7dP0MhxJdPUc8iCM.html,4,0.1
Hindiustan Times, Art house to mainstream It ’ s an all time high for India at the Berlinale,hollywood,2019-02-22,19:55:00,https://www.hindustantimes.com/world-cinema/art-house-to-mainstream-it-s-an-all-time-high-for-india-at-the-berlinale/story-sqsF9PDREGAn9X76dkbNYI.html,4,0.11
Hindiustan Times, Film The zombies are rising which means the world is in crisis again,hollywood,2019-06-08,16:06:00,https://www.hindustantimes.com/hollywood/film-the-zombies-are-rising-which-means-the-world-is-in-crisis-again/story-XzBwmCXamC3LDcyoXmEJZO.html,4,0.11
Hindiustan Times, The Extraordinary Journey of the Fakir teaser poster Dhanush is out on his big international film adventure,hollywood,2018-02-10,12:38:00,https://www.hindustantimes.com/world-cinema/the-extraordinary-journey-of-the-fakir-teaser-poster-dhanush-is-out-on-his-big-international-film-adventure/story-JwpSDCjLPRsi071HB7shCO.html,4,0.12
India Times, Jason Momoa AKA Khal Drogo Recalls He Was Broke While Shooting For GoT It ’ s Hard To,hollywood,2019-06-11,00:56,https://www.indiatimes.com/entertainment/hollywood/jason-momoa-aka-khal-drogo-recalls-he-was-broke-while-shooting-for-got-it-s-hard-to-believe-368201.html,5,0.2
Hindiustan Times, Berlin film festival opens with Wes Anderson ’ s Isle of Dogs,hollywood,2018-02-15,10:04:00,https://www.hindustantimes.com/world-cinema/berlin-film-festival-opens-with-wes-anderson-s-isle-of-dogs/story-5YLLVWL7SsdG8v3Rcjl3xK.html,5,0.21
Hindiustan Times, Zaigham Imam ’ s Nakkash showcased at Cannes Film Festival,hollywood,2018-05-21,21:32:00,https://www.hindustantimes.com/world-cinema/zaigham-imam-s-nakkash-showcased-at-cannes-film-festival/story-TQvE8WyZlGwhwJpmAX4ygJ.html,6,0.07
Time of India, Ruby Rose opens up about backlash for identifying as lesbian,hollywood,2019-06-10, 14:54:00,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/ruby-rose-opens-up-about-backlash-for-identifying-as-lesbian/articleshow/69722865.cms,6,0.09
Hindiustan Times, Netflix makes power move threatens to pull out of Cannes if ban isn ’ t reversed,hollywood,2018-04-08,17:23:00,https://www.hindustantimes.com/world-cinema/netflix-makes-power-move-threatens-to-pull-out-of-cannes-if-ban-isn-t-reversed/story-UxY2hTSPNg5Ligvl0l3tmO.html,6,0.04
Hindiustan Times, Netflix pulls out of Cannes Film Festival due to new rules,hollywood,2018-04-12,09:55:00,https://www.hindustantimes.com/world-cinema/netflix-pulls-out-of-cannes-film-festival-due-to-new-rules/story-PoZolV7gwnPoG6toXAT8LP.html,6,0.07
Hindiustan Times, The Revenant director Alejandro Inarritu becomes first Mexican to head Cannes Film Festival jury,hollywood,2019-02-27,19:25:00,https://www.hindustantimes.com/world-cinema/the-revenant-director-alejandro-inarritu-becomes-first-mexican-to-head-cannes-film-festival-jury/story-kKxNWcFU3lMcHlDNGHnUKP.html,6,0.07
Hindiustan Times, Indian short film exploring mother daughter bond makes it to Cannes film fest,hollywood,2018-05-03,18:26:00,https://www.hindustantimes.com/delhi-news/indian-short-film-exploring-mother-daughter-bond-makes-it-to-cannes-film-fest/story-XuRttgI98o3ALc9Y00igyL.html,6,0.06
Hindiustan Times, Will Smith shares his Genie beauty secrets from Aladdin says ‘ I don ’ t want Kylie Jenner stealing my stuff ’,hollywood,2019-06-02,18:46:00,https://www.hindustantimes.com/hollywood/will-smith-shares-his-genie-beauty-secrets-from-aladdin-says-i-don-t-want-kylie-jenner-stealing-my-stuff/story-Tlt9kAjMkUuBCDi4UPE3nI.html,6,0.06
Hindiustan Times, Making India proud at the 71st Cannes Film Festival,hollywood,2018-05-13,11:56:00,https://www.hindustantimes.com/world-cinema/making-india-proud-at-the-71st-cannes-film-festival/story-aQ9q30XMeAgH4beEKdQMIP.html,6,0.07
Hindiustan Times, Can ’ t expect an accurate representation of Indians from non Indian writers in Hollywood Divyansh Sharma,hollywood,2019-05-27,11:33:00,https://www.hindustantimes.com/hollywood/can-t-expect-an-accurate-representation-of-indians-from-non-indian-writers-in-hollywood-divyansh-sharma/story-oJ6AJn40rbLuV4ryUGqUwK.html,6,0.08
Hindiustan Times, Had to let go of the opportunity to be at Cannes earlier due to films Diana,hollywood,2019-05-23,19:24:00,https://www.hindustantimes.com/bollywood/had-to-let-go-of-the-opportunity-to-be-at-cannes-earlier-due-to-films-diana/story-PO6VAApvl98VwFcO9mF8FN.html,6,0.05
Hindiustan Times, Cannes film fest 2018 The guesses have begun to roll,hollywood,2018-03-01,15:52:00,https://www.hindustantimes.com/world-cinema/cannes-film-fest-2018-the-guesses-have-begun-to-roll/story-mWlukvjwvTs3OpMo0l3pxH.html,6,0.11
Hindiustan Times, The Dead Don ’ t Die to open Cannes Film Festival on May 14,hollywood,2019-04-11,16:04:00,https://www.hindustantimes.com/world-cinema/the-dead-don-t-die-to-open-cannes-film-festival-on-may-14/story-iaYeUh7ouoEO7KoKxLPTpL.html,6,0.06
Hindiustan Times, Award winning films from the world over being screened at this international festival in Delhi,hollywood,2018-03-25,17:39:00,https://www.hindustantimes.com/world-cinema/award-winning-films-from-the-world-over-being-screened-at-this-international-festival-in-delhi/story-MMwtm1FBvi73SU8RlM5aYJ.html,6,0.09
Hindiustan Times, Director of Romanian classic Reenactment Lucian Pintilie dead at 84,hollywood,2018-05-18,10:25:00,https://www.hindustantimes.com/world-cinema/director-of-romanian-classic-reenactment-lucian-pintilie-dead-at-84/story-lqMv6EVffpfHBSUB02uWUN.html,6,0.09
Hindiustan Times, Cannes 2019 zooms in on street battles and corporate cruelty with Le Miserables and Sorry We Missed You,hollywood,2019-05-20,17:26:00,https://www.hindustantimes.com/world-cinema/cannes-2019-zooms-in-on-street-battles-and-corporate-cruelty-with-le-miserables-and-sorry-we-missed-you/story-C8ImyA3TESaCxVIrYcPK9L.html,6,0.05
Hindiustan Times, Cannes chief Thierry Fremaux ’ s radical changes draw flak,hollywood,2018-03-29,17:52:00,https://www.hindustantimes.com/world-cinema/cannes-chief-thierry-fremaux-s-radical-changes-draw-flak/story-gJ6JZ7yH4JPhEbH8lslS0N.html,7,0.16
Hindiustan Times, Nandita Das strikes luck at Cannes with Manto festival ’ s official line announced,hollywood,2018-04-12,17:02:00,https://www.hindustantimes.com/world-cinema/nandita-das-strikes-luck-at-cannes-with-manto-festival-s-official-line-announced/story-huqjgKg9vJWZz3Stae7ZCM.html,7,0.21
Hindiustan Times, Harvey Weinstein ‘ was incredibly sexually flirtatious ’ and ‘ crossed all lines ’ says Madonna,hollywood,2019-06-06,13:36:00,https://www.hindustantimes.com/hollywood/harvey-weinstein-was-incredibly-sexually-flirtatious-and-crossed-all-lines-says-madonna/story-DvaQrH71ii63gAjkItISFK.html,7,0.16
Hindiustan Times, Adil Hussain ’ s What Will People Say is the official Norwegian entry for Oscar 2019,hollywood,2018-09-05,10:57:00,https://www.hindustantimes.com/world-cinema/adil-hussain-s-what-will-people-say-is-the-official-norwegian-entry-for-oscar-2019/story-5mSPXxohbtfDQEALGqMwpN.html,7,0.17
Hindiustan Times, Cannes 2018 Nandita Das ’ Manto takes a hard look at societal injustices,hollywood,2018-05-14,19:29:00,https://www.hindustantimes.com/world-cinema/cannes-2018-nandita-das-manto-takes-a-hard-look-at-societal-injustices/story-mRlGBWChZdXpDzpdvEunNO.html,7,0.2
Hindiustan Times, Cannes 2019 Terrence Malick ’ s A Hidden Life puzzles more and explains less,hollywood,2019-05-22,12:12:00,https://www.hindustantimes.com/world-cinema/cannes-2019-terrence-malick-s-a-hidden-life-puzzles-more-and-explains-less/story-dHQC2lUIcqx06U5TjPAXCP.html,7,0.32
Hindiustan Times, George Clooney on friendship with Meghan Markle Prince Harry ‘ We live not too far from one another and we have dinners ’,hollywood,2019-06-09,14:26:00,https://www.hindustantimes.com/hollywood/george-clooney-on-friendship-with-meghan-markle-prince-harry-we-live-not-too-far-from-one-another-and-we-have-dinners/story-JYeRpZGo6KfAgHxnwC7i6K.html,8,0.21
Hindiustan Times, George Clooney on friendship with Meghan Markle Prince Harry ‘ We live not too far from one another and we have dinners ’,hollywood,2019-06-09,14:26:00,https://www.hindustantimes.com/hollywood/george-clooney-on-friendship-with-meghan-markle-prince-harry-we-live-not-too-far-from-one-another-and-we-have-dinners/story-JYeRpZGo6KfAgHxnwC7i6K.html,8,0.21
India Times, The Trailer Of Spider Man Far From Home Is Here And The Story Begins From Where Endgame Ended,hollywood,2019-06-11,00:56,https://www.indiatimes.com/entertainment/hollywood/the-trailer-of-spider-man-far-from-home-is-here-and-the-story-begins-from-where-endgame-ended-366740.html,8,0.16
Hindiustan Times, Game of Thrones writer reveals the one character who wasn ’ t supposed to die,hollywood,2019-05-24,17:03:00,https://www.hindustantimes.com/hollywood/emilia-clarke-turned-down-fifty-shades-of-grey-because-she-didn-t-want-to-be-pigeonholed-as-someone-who-gets-naked/story-GcWtz8kxHgB7ex8dClACWN.html,8,0.2
India Times, Were Halfway Through The Game Of Thrones Finale Here Are 75 Things That Have Happened So Far,hollywood,2019-06-11,00:56,https://www.indiatimes.com/entertainment/hollywood/we-re-halfway-through-the-game-of-thrones-finale-here-are-75-things-that-have-happened-so-far-366359.html,8,0.15
India Times, Spider Man Thought Endgames Final Scene Was A Wedding He Kept Wondering Where Was Iron Man,hollywood,2019-06-11,00:56,https://www.indiatimes.com/entertainment/hollywood/spider-man-thought-endgame-s-final-scene-was-a-wedding-he-kept-wondering-where-was-iron-man-367102.html,8,0.29
Indian Express, LiveBharat box office collection Day 5 Salman Khan starrer earns Rs 150 10 crore,hollywood,2019-06-10,16:08:00,https://indianexpress.com/article/entertainment/bollywood/box-office-collection/bharat-day-5-salman-khan-5772163/,9,0.19
India Today, Brad Pitt and Jennifer Anistons former house is on sale for Rs 343 croreBrad Pitt and Jennifer Anistons former house is on sale The ex couple had bought it back in 2001 for Rs 93 crore,hollywood,2019-06-11,00:56:00,https://www.indiatoday.in/movies/hollywood/story/brad-pitt-and-jennifer-aniston-s-former-house-is-on-sale-for-rs-343-crore-1544359-2019-06-07,9,0.28
Time of India, Hugh Jackman and Ryan Reynolds celebrate National Best Friends Day,hollywood,2019-06-10, 13:14:00,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/hugh-jackman-and-ryan-reynolds-celebrate-national-best-friends-day/articleshow/69722577.cms,9,0.21
Hindiustan Times, Kevin Spacey appears in court lawyer says ‘ he is suffering every day that this goes on ’,hollywood,2019-06-04,15:44:00,https://www.hindustantimes.com/hollywood/kevin-spacey-appears-in-court-lawyer-says-he-is-suffering-every-day-that-this-goes-on/story-XQzN4LOaQLUdYtErZpMpVP.html,9,0.21
India Today, Dark Phoenix box office collection day 1 Sophie Turner film braves Bharat wave Dark Phoenix starring Sophie Turner James McAvoy and Michael Fassbender did well on its opening day and managed to brave the Bharat wave,hollywood,2019-06-11,00:56:00,https://www.indiatoday.in/movies/hollywood/story/dark-phoenix-box-office-collection-day-1-sophie-turner-film-braves-bharat-wave-1544229-2019-06-07,9,0.18
Indian Express, Kick 2 Sajid Nadiadwala to return as director for Salman Khan film,hollywood,2019-06-10,18:14:04,https://indianexpress.com/article/entertainment/bollywood/kick-2-sajid-nadiadwala-to-return-as-director-5773647/,9,0.17
Hindiustan Times, Newsmaker Quentin Tarantino and his ninth symphony,hollywood,2019-06-02,09:53:00,https://www.hindustantimes.com/hollywood/newsmaker-quentin-tarantino-and-his-ninth-symphony/story-bDWjGrUHErhigbOnsYWJyN.html,10,0.4
Hindiustan Times, Cannes fest to open with Asghar Farhadi ’ s Spanish work Everybody Knows,hollywood,2018-04-05,16:30:00,https://www.hindustantimes.com/world-cinema/cannes-fest-to-open-with-asghar-farhadi-s-spanish-work-everybody-knows/story-mC2uMRinx9fTURMgcuqQeP.html,10,0.36
Hindiustan Times, Always Be My Maybe movie review Netflix ’ s latest rom com is the perfect antidote to Crazy Rich Asians,hollywood,2019-05-31,09:10:00,https://www.hindustantimes.com/hollywood/always-be-my-maybe-movie-review-netflix-s-latest-rom-com-is-the-perfect-antidote-to-crazy-rich-asians/story-ODOASegoWdl4bpYw515VhP.html,11,0.12
Hindiustan Times, Indian filmmaker hopes silent movie on rape resonates universally at Cannes,hollywood,2018-05-10,15:12:00,https://www.hindustantimes.com/world-cinema/indian-filmmaker-hopes-silent-movie-on-rape-resonates-universally-at-cannes/story-yQLaIDP0t3fNs81YMe0nAP.html,11,0.11
Hindiustan Times, I Am Mother movie review Has Netflix found the new Christopher Nolan Hilary Swank thinks so,hollywood,2019-06-10,16:55:00,https://www.hindustantimes.com/hollywood/i-am-mother-movie-review-has-netflix-found-the-new-christopher-nolan-hilary-swank-thinks-so/story-jX2su2n885F2n8ng2yoC9M.html,11,0.12
Hindiustan Times, Cannes 2019 The complete list of movies includes usual suspects like Pedro Almodovar and Ken Loach India draws a blank,hollywood,2019-04-19,16:13:00,https://www.hindustantimes.com/world-cinema/cannes-2019-the-complete-list-of-movies-includes-usual-suspects-like-pedro-almodovar-and-ken-loach-india-draws-a-blank/story-2CLgyE5s2rj4r7EY6CfOoM.html,11,0.15
Hindiustan Times, Rocketman movie review Taron Egerton soars in the sky explodes in all the brilliant colours of Elton John,hollywood,2019-05-31,17:22:00,https://www.hindustantimes.com/hollywood/rocketman-movie-review-taron-egerton-soars-in-the-sky-explodes-in-all-the-brilliant-colours-of-elton-john/story-9aDsIfyLDTgQ1GiBpon1FL.html,11,0.12
India Times, Remember The Mystery Teen At The End Of Avengers Endgame Here ’ s Why He Is Super Important,hollywood,2019-06-11,00:56,https://www.indiatimes.com/entertainment/hollywood/remember-the-mystery-teen-at-the-end-of-avengers-endgame-here-s-why-he-is-super-important-366420.html,12,0.14
Time of India, Simon Pegg and Nick Frost to produce serial killer movie Svalta,hollywood,2019-06-10, 14:58:00,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/simon-pegg-and-nick-frost-to-produce-serial-killer-movie-svalta/articleshow/69723324.cms,12,0.13
India Times, Avengers Endgame Director Thinks Robert Downey Jr Deserves An Oscar Do You Feel The Same,hollywood,2019-06-11,00:56,https://www.indiatimes.com/entertainment/hollywood/avengers-endgame-director-thinks-robert-downey-jr-deserves-an-oscar-do-you-feel-the-same-366635.html,12,0.1
Hindiustan Times, Marvel leak teases post Avengers Endgame lineup Young Avengers New Avengers and Dark Avengers in pipeline,hollywood,2019-06-04,17:45:00,https://www.hindustantimes.com/hollywood/marvel-leak-teases-post-avengers-endgame-lineup-young-avengers-new-avengers-and-dark-avengers-in-pipeline/story-tMDFgABpZQ8uBowDHj9rZP.html,12,0.15
India Times, Taking A Dig At Lazy Thor Robert Downey Jr Drops A BTS Video From Avengers Endgame Sets,hollywood,2019-06-11,00:56,https://www.indiatimes.com/entertainment/hollywood/taking-a-dig-at-lazy-thor-robert-downey-jr-drops-a-bts-video-from-avengers-endgame-sets-366765.html,12,0.13
Time of India, Jon Favreau wants Robert Downey Jr to win Oscar for Avengers Endgame performance,hollywood,2019-06-10, 12:29:00,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/jon-favreau-wants-robert-downey-jr-to-win-oscar-for-avengers-endgame-performance/articleshow/69721769.cms,12,0.13
India Times, Korean Soldier Leaves Military Base To Watch Avengers Endgame Gets Arrested Outside Theatre,hollywood,2019-06-11,00:56,https://www.indiatimes.com/entertainment/hollywood/korean-soldier-leaves-military-base-to-watch-avengers-endgame-gets-arrested-outside-theatre-366673.html,12,0.14
