Newspaper,Heading,Date,Time,URL,Cluster,cluster_similarity_value
Indian Express,An exhibition in Mumbai highlights how a city becomes home to strangers,2019-05-31,12:20:29 am,https://indianexpress.com/article/lifestyle/art-and-culture/any-dream-will-do-sameer-kulavoor-sudhir-patwardhan-ritesh-uttamchandani-5757314/,9,0.21
India Today," GoAir kicks off flash sale with domestic flight tickets from Rs 1,375. Details here",2019-05-31,11:37,https://timesofindia.indiatimes.com/lifestyle/travel/story/goair-kicks-off-flash-sale-with-domestic-flight-tickets-from-rs-1-375-details-here-1534475-2019-05-25,9,0.21
India Today, Meghan Markle and Prince Harry spent Rs 26 crore on renovating home before Archie's birth,2019-05-31,11:37,https://timesofindia.indiatimes.com/lifestyle/celebrity/story/meghan-markle-and-prince-harry-spent-rs-26-crore-on-renovating-home-before-archie-s-birth-1538297-2019-05-30,9,0.41
Hindiustan Times,Jaipur Wax Museum celebrates Gayatri Devi’s 100th birth anniversary ,2019-05-29,17:54:00,https://www.hindustantimes.com/art-and-culture/jaipur-wax-museum-celebrates-gayatri-devi-s-100th-birth-anniversary/story-LTWXFK5krOMIjGO4cvCsAL.html,9,0.21
India Today, World's first guitar-shaped hotel all set to open in Hollywood this year. The details will blow your mind,2019-05-31,11:37,https://timesofindia.indiatimes.com/lifestyle/travel/story/world-s-first-guitar-shaped-hotel-all-set-to-open-in-hollywood-this-year-the-details-will-blow-your-mind-1537611-2019-05-29,10,1.0
Indian Express,Being teased about weight makes children gain more kilos: Study,2019-05-31,9:57:01 am,https://indianexpress.com/article/lifestyle/health/being-teased-about-weight-makes-children-gain-kilos-study-5757711/,11,0.34
Hindiustan Times,Largest art museum in US to showcase works of Indian sculptor Mrinalini Mukherjee,2019-05-28,12:55:00,https://www.hindustantimes.com/art-and-culture/largest-art-museum-in-us-to-showcase-works-of-indian-sculptor-mrinalini-mukherjee/story-UGoDJ4JlQQmEQflXQbIMNL.html,11,0.34
Hindiustan Times,How to make long distance relationships work? ,2019-05-29,17:33:00,https://www.hindustantimes.com/sex-and-relationships/how-to-make-long-distance-relationships-work/story-1XsV57HuIIXS1hE3zQ85uM.html,11,0.35
Hindiustan Times,Meet India’s first male model with autism,2019-05-29,18:01:00,https://www.hindustantimes.com/fashion-and-trends/meet-india-s-first-male-model-with-autism/story-eMSap5YkWb7d69LzCuSGLP.html,12,0.33
Hindiustan Times,The rise of the fall: Why mobile phone buyers should rejoice!,2019-05-25,22:04:00,https://www.hindustantimes.com/brunch/the-rise-of-the-fall-why-mobile-phone-buyers-should-rejoice/story-EDWP1Sz78T8MN1qKxqG2IJ.html,13,0.5
